study	subject	n	intervention	substance	measurement	tissue	mean	mean_pm	se	sd	unit	time	time_unit
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	1.169947	1.7913241	0.6213771	1.75751984433613	ng/ml	20	min
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	9.758334	13.903616	4.145282	11.7246280485221	ng/ml	25	min
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	22.479807	28.876398	6.396591	18.0922914903074	ng/ml	35	min
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	21.963818	26.635513	4.671695	13.2135488565412	ng/ml	45	min
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	22.211689	27.16943	4.957741	14.0226091218663	ng/ml	60	min
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	20.657825	24.34056	3.682735	10.4163475672522	ng/ml	90	min
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	15.173499	18.506882	3.333383	9.42823089436783	ng/ml	120	min
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	10.612931	12.468951	1.85602	5.24961731207143	ng/ml	150	min
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	8.425324	10.042254	1.61693	4.57336867081586	ng/ml	180	min
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	5.1001725	6.1494756	1.0493031	2.96787735012026	ng/ml	240	min
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	3.669277	4.4114738	0.742196799999999	2.09924956101982	ng/ml	300	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	1.9697775	3.6468775	1.6771	4.74355513091184	ng/ml	20	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	5.7131376	8.523731	2.8105934	7.94955860919262	ng/ml	25	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	9.001032	11.6963005	2.6952685	7.62337053387398	ng/ml	35	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	10.010547	11.897527	1.88698	5.33718541585357	ng/ml	45	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	11.196523	12.78142	1.584897	4.48276566472887	ng/ml	60	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	9.22748	10.176077	0.948597	2.68303748525286	ng/ml	90	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	8.148657	9.038319	0.889662	2.51634413265594	ng/ml	120	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	4.2986655	4.659441	0.3607755	1.02042721014387	ng/ml	150	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	3.1212845	3.58374	0.4624555	1.30802168018806	ng/ml	180	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	2.4836187	2.802755	0.3191363	0.902653767411137	ng/ml	240	min
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	1.48622	1.6627854	0.1765654	0.499402366651661	ng/ml	300	min
