study	subject	intervention	n	substance	measurement	tissue	mean	mean_pm	se	sd	unit	time	time_unit
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	23.044987	28.580149	5.535162	15.6558023406644	ng/ml	5	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	129.48169	148.20604	18.72435	52.9604594332414	ng/ml	10	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	118.96593	132.20628	13.24035	37.4493650811332	ng/ml	15	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	80.65807	96.71072	16.05265	45.4037506840569	ng/ml	20	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	74.108925	82.00762	7.898695	22.3408831880971	ng/ml	25	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	64.70394	73.7524	9.04845999999999	25.5929097011809	ng/ml	35	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	56.736988	62.520294	5.783306	16.3576595611074	ng/ml	45	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	54.34553	59.633404	5.287874	14.9563662538401	ng/ml	60	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	36.95047	40.546574	3.596104	10.1713180970083	ng/ml	90	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	28.274893	31.422367	3.147474	8.9024008360334	ng/ml	120	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	19.717506	22.47401	2.756504	7.79657068307137	ng/ml	150	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	14.897754	17.490011	2.592257	7.33201001311319	ng/ml	180	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	10.910205	12.971593	2.061388	5.8304857338263	ng/ml	240	min
Mandema1992	all	iv_mid	8	midazolam	concentration	plasma	6.607532	7.9561586	1.3486266	3.81449205659423	ng/ml	300	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	na	na	na	na	ng/ml	5	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	2.6314766	3.8967843	1.2653077	3.57883061983022	ng/ml	10	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	5.3916574	6.74343	1.3517726	3.82339028832868	ng/ml	15	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	6.195527	7.6194034	1.4238764	4.02733063204595	ng/ml	20	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	7.426478	8.288161	0.861683	2.43720757013267	ng/ml	25	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	7.2978215	6.2954636	1.0023579	2.83509627306363	ng/ml	35	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	7.417696	8.313298	0.895601999999999	2.53314498977694	ng/ml	45	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	6.956861	7.929583	0.972722	2.75127328963736	ng/ml	60	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	6.1709414	7.033706	0.862764599999999	2.44026679691079	ng/ml	90	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	5.8071423	6.6190443	0.811902	2.29640563943568	ng/ml	120	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	3.5379157	3.96504	0.4271243	1.20808995575823	ng/ml	150	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	3.3433936	3.9085836	0.56519	1.5985987266353	ng/ml	180	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	3.0752976	3.895377	0.8200794	2.31953481940558	ng/ml	240	min
Mandema1992	all	iv_mid	8	1-hydroxymidazolam	concentration	plasma	1.7855077	2.0697744	0.2842667	0.804027644942088	ng/ml	300	min
