study	subject	n	intervention	substance	measurement	tissue	mean	mean_pm	mean_se	mean_sd	time	time_unit	mean_unit
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	3.591350286093171e-06	1.7913241	1.9074221531887727e-06	5.39500455642092e-06	20	min	mole/meter^3
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	2.9954857444561775e-05	13.903616	1.27246445323052e-05	3.5990729747925214e-05	25	min	mole/meter^3
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	6.90055714496206e-05	28.876398	1.963541845730704e-05	5.553735017038936e-05	35	min	mole/meter^3
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	6.742165590235996e-05	26.635513	1.4340558311436359e-05	4.056122411207117e-05	45	min	mole/meter^3
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	6.818253787971809e-05	27.16943	1.5218624910979596e-05	4.304477149955275e-05	60	min	mole/meter^3
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	6.34126893985904e-05	24.34056	1.1304778247096094e-05	3.19747414333274e-05	90	min	mole/meter^3
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	4.6577622725375116e-05	18.506882	1.0232383168389776e-05	2.8941550104270007e-05	120	min	mole/meter^3
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	3.25781875445102e-05	12.468951	5.697367451683407e-06	1.6114588639987443e-05	150	min	mole/meter^3
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	2.5862957687679577e-05	10.042254	4.9634402396797725e-06	1.4038729005967008e-05	180	min	mole/meter^3
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	1.565584250141205e-05	6.1494756	3.221013420593797e-06	9.110401727978991e-06	240	min	mole/meter^3
Mandema1992	all	8	po_mid	midazolam	concentration	plasma	1.1263466638835e-05	4.4114738	2.278298666535691e-06	6.444001746702623e-06	300	min	mole/meter^3
