study	subject	n	intervention	measurement	substance	tissue	mean	mean_pm	mean_se	mean_sd	time	time_unit	mean_unit
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	9.364696021064946e-12				0.0	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	8.832884727911058e-06	4.4671525999999995	4.2366079578700995e-06	1.1982936864955351e-05	0.0833333333333333	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	1.9723952603861906e-05	8.39467	4.836228788765358e-06	1.3678920687622351e-05	0.166666666666667	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	2.04828484493856e-05	7.9026604	2.637866588648332e-06	7.461013410794644e-06	0.33333333333333304	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	1.7544188121708597e-05	6.515704599999999	1.5187276184903448e-06	4.295610391239291e-06	0.666666666666667	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	1.704358864833235e-05	6.2831244	1.338870099473379e-06	3.7868965058621402e-06	1.0	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	1.6462527794031593e-05	6.3099475	1.9984069631363365e-06	5.652348460816471e-06	1.5	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	1.4302747220596836e-05	5.3872952000000005	1.4587952018724397e-06	4.126095918425599e-06	2.0	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	1.2202919836161496e-05	4.6285906	1.3388899941486248e-06	3.786952776501228e-06	2.5	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	5.824925394967817e-06	2.7081618	2.0983098303101222e-06	5.934916440170713e-06	3.5	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	7.244622878876535e-07	0.39790127	4.3967249853715614e-07	1.2435816208674222e-06	5.0	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	3.3874916910473953e-07	0.21825017	2.997826331187829e-07	8.479133310410002e-07	7.0	hr	mole/meter^3
Kupferschmidt1995	all	8	GRAP1, GRAP2, iv	concentration	1-hydroxymidazolam	plasma	3.2991825629022816e-08	0.052285936	1.1998048566413104e-07	3.393560600926506e-07	9.0	hr	mole/meter^3
