study	subject	n	intervention	measurement	substance	tissue	mean	mean_pm	mean_se	mean_sd	time	time_unit	mean_unit
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	0.0002899833009994843	85.077896	2.8822302988629977e-05	8.152178357069416e-05	0.0833333333333333	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	0.00027719865057341414	83.776886	2.0031322904643764e-05	5.6657137048044e-05	0.166666666666667	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	0.00024932141892389676	76.71305	1.3837731146091694e-05	3.913901411855093e-05	0.333333333333333	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	0.0002021604024950271	61.8279	1.236920139485769e-05	3.498538473666382e-05	0.666666666666667	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	0.0001650653655362098	49.46953	1.3210272341052527e-05	3.736429261471722e-05	1.0	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	0.00012126860833476583	36.706455	8.591933523243533e-06	2.430165783115812e-05	1.5	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	9.634333636207362e-05	28.449478	9.012849635323295e-06	2.5492188379807222e-05	2.0	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	7.749941062351121e-05	23.469355	5.456254144053436e-06	1.543261722054956e-05	2.5	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	5.134208700670415e-05	14.950441	5.449178556518749e-06	1.5412604436842904e-05	3.5	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	3.171222465067164e-05	8.828883	4.610474325286707e-06	1.3040390639586822e-05	5.0	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	1.7350215490778713e-05	4.9670405	2.103044190957982e-06	5.9483072342454744e-06	7.0	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	1.0534122442965546e-05	2.6785269	2.3119308833280124e-06	6.53912802094337e-06	9.0	hr	mole/meter^3
Kupferschmidt1995	all	8	iv	concentration	midazolam	plasma	8.379102919869354e-07				24.0	hr	mole/meter^3
